Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,672 B,(213 B),,238.25
12M 2009,358 B,(85 B),273 B,141.38
12M 2010,92 B,(77 B),15 B,7.66
12M 2011,285 B,(91 B),193 B,83.02
12M 2012,311 B,(193 B),118 B,50.68
12M 2013,"1,451 B",(273 B),"1,178 B",505.71
12M 2014,75 B,(113 B),,-16.29
12M 2015,462 B,(157 B),305 B,130.94
12M 2016,416 B,(77 B),339 B,145.43
12M 2017,429 B,(94 B),335 B,143.81
12M 2018,385 B,(150 B),(63 B),101.15
12M 2019,304 B,(178 B),126 B,54.01
12M 2020,46 B,(235 B),(189 B),-80.94
12M 2021,143 B,(63 B),80 B,34.45
12M 2022,359 B,(103 B),256 B,109.94
12M 2023,442 B,(94 B),348 B,149.58
12M 2024,457 B,(141 B),316 B,135.63
