Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,54 B,(1 B),53 B,104.61
12M 2013,95 B,(4 B),91 B,178.42
12M 2014,130 B,(63 B),67 B,97.77
12M 2015,84 B,(11 B),73 B,20.57
12M 2016,103 B,(10 B),93 B,25.50
12M 2017,213 B,(388 B),(175 B),-48.10
12M 2018,152 B,(466 B),(314 B),-85.70
12M 2019,380 B,(648 B),(268 B),-68.08
12M 2020,595 B,(470 B),125 B,31.69
12M 2021,634 B,(495 B),139 B,35.24
12M 2022,643 B,(331 B),312 B,79.40
12M 2023,629 B,(522 B),106 B,26.97
12M 2024,607 B,(659 B),(51 B),-13.02
