Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.51 B,184.37,0.00,0.00,,20.73%,63.72%,13.21%,1.51
12M 2013,0.51 B,167.91,0.00,0.00,,13.00%,36.92%,16.37%,2.43
12M 2014,0.69 B,129.88,16.17,10.55,,11.01%,24.18%,13.99%,2.23
12M 2015,3.57 B,33.80,26.33,18.66,,10.03%,24.13%,10.76%,1.82
12M 2016,3.63 B,54.11,19.40,14.98,,11.52%,28.03%,12.24%,1.83
12M 2017,3.63 B,16.93,90.37,17.37,,2.54%,5.41%,9.56%,1.40
12M 2018,3.67 B,13.74,113.54,12.32,301.49 B,1.46%,2.97%,8.91%,1.44
12M 2019,3.93 B,11.70,93.16,6.95,411.05 B,1.11%,2.42%,9.30%,1.35
12M 2020,3.93 B,21.45,37.30,4.04,527.60 B,1.81%,3.87%,10.23%,1.60
12M 2021,3.93 B,47.92,18.26,3.64,666.70 B,3.77%,8.02%,11.51%,2.12
12M 2022,3.93 B,53.90,15.68,3.40,676.49 B,4.08%,8.68%,11.06%,2.30
12M 2023,3.93 B,38.25,21.57,3.40,639.27 B,2.73%,5.98%,10.18%,1.89
12M 2024,3.93 B,36.67,47.59,6.56,703.61 B,2.37%,5.59%,10.27%,1.88
