Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.97 B,637.42,0.15,0.13,,147.82%,248.05%,4.55%,79.72
12M 2009,0.97 B,10.76,19.05,0.26,,1.94%,3.94%,4.39%,2.08
12M 2010,0.97 B,39.28,5.86,0.27,,7.13%,12.59%,12.44%,4.47
12M 2011,0.97 B,75.02,5.73,0.46,,11.70%,19.38%,19.83%,6.00
12M 2012,0.97 B,39.76,7.80,0.30,,4.01%,8.82%,16.47%,5.01
12M 2013,0.97 B,8.12,44.95,0.29,,0.61%,1.77%,16.70%,2.71
12M 2014,0.97 B,-146.45,-1.78,0.25,,-10.65%,-47.13%,-13.18%,-1.72
12M 2015,0.97 B,-231.27,-0.34,0.19,,-16.80%,-298.46%,-9.21%,-1.07
12M 2016,0.97 B,-70.70,-1.16,0.33,,-5.91%,-1071.69%,-4.80%,-0.68
12M 2017,0.97 B,-131.51,-0.48,1.18,,-11.42%,104.52%,-5.26%,-0.54
12M 2018,0.97 B,-142.68,-0.57,3.28,(14.00 B),-12.67%,53.34%,-5.14%,-0.35
12M 2019,0.97 B,-92.42,-0.69,0.28,(22.34 B),-7.96%,25.86%,-26.51%,-0.77
12M 2020,0.97 B,74.77,0.83,128.45,(10.31 B),6.86%,-26.95%,-7.69%,-4.23
12M 2021,4.67 B,-26.64,-2.33,77.90,(15.23 B),-11.81%,108.15%,-5.50%,-0.58
12M 2022,4.67 B,-60.42,-2.96,17.30,(17.04 B),-31.51%,70.95%,-7.01%,-0.52
