Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.28 B,117.11,2.74,0.10,,10.62%,19.97%,52.78%,93.11
12M 2009,2.28 B,144.27,5.48,0.21,,11.02%,20.52%,31.98%,34.41
12M 2010,2.28 B,112.89,10.06,0.27,,7.91%,14.31%,20.69%,24.58
12M 2011,2.71 B,129.60,5.79,0.19,,8.03%,14.42%,20.67%,52.93
12M 2012,2.71 B,148.69,11.77,0.35,,8.13%,15.62%,20.74%,56.71
12M 2013,2.71 B,171.42,23.33,0.69,,8.40%,15.28%,21.62%,46.60
12M 2014,2.71 B,188.51,14.85,0.45,,8.25%,14.39%,20.25%,44.01
12M 2015,2.71 B,201.99,14.85,0.46,,8.11%,13.44%,18.28%,54.47
12M 2016,2.71 B,205.28,14.22,0.42,,7.85%,12.04%,15.75%,65.03
12M 2017,2.71 B,191.12,15.64,0.41,,6.97%,10.09%,13.13%,65.91
12M 2018,2.71 B,241.10,8.71,0.28,957.66 B,7.85%,11.29%,14.93%,154.03
12M 2019,2.71 B,214.36,9.56,0.25,891.57 B,6.67%,9.47%,12.60%,123.92
12M 2020,2.71 B,251.27,8.40,0.25,"1,012.93 B",7.39%,10.40%,13.16%,78.33
12M 2021,2.71 B,313.03,8.63,0.28,"1,249.53 B",8.71%,12.41%,15.68%,105.94
12M 2022,2.71 B,312.90,8.79,0.27,"1,266.41 B",8.15%,11.92%,15.38%,101.28
12M 2023,2.71 B,254.19,10.19,0.25,"1,068.25 B",6.28%,9.50%,12.24%,43.21
12M 2024,2.71 B,273.85,8.87,0.21,"1,141.65 B",6.46%,9.85%,12.70%,40.53
