Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,7 B,(3 B),4 B,3.97
12M 2011,(1 B),(14 B),(15 B),-16.69
12M 2012,15 B,(112 B),(98 B),-108.70
12M 2013,(13 B),(57 B),(69 B),0.00
12M 2014,18 B,(24 B),(6 B),-5.35
12M 2015,12 B,(3 B),8 B,7.16
12M 2016,27 B,(0 B),27 B,0.00
12M 2017,3 B,(0 B),3 B,2.71
12M 2018,6 B,(0 B),6 B,5.18
12M 2019,6 B,(0 B),6 B,5.42
12M 2020,(8 B),(0 B),(8 B),-6.77
12M 2021,(0 B),(0 B),(0 B),0.00
12M 2022,1 B,(0 B),1 B,0.75
12M 2023,6 B,(2 B),5 B,3.98
12M 2024,7 B,(4 B),3 B,2.89
