Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,214 B,(0 B),214 B,502.42
12M 2009,(52 B),(1 B),(53 B),-6.48
12M 2010,(35 B),(2 B),(37 B),-4.53
12M 2011,21 B,(20 B),1 B,0.10
12M 2012,370 B,(40 B),330 B,40.28
12M 2013,193 B,(243 B),(50 B),-6.08
12M 2014,220 B,(136 B),84 B,10.27
12M 2015,(39 B),(47 B),(86 B),-10.49
12M 2016,87 B,(62 B),25 B,3.04
12M 2017,31 B,(61 B),(30 B),-3.63
12M 2018,7 B,(106 B),(99 B),-10.75
12M 2019,(60 B),(83 B),(143 B),-15.51
12M 2020,3 B,(51 B),(48 B),-5.21
12M 2021,24 B,(61 B),(36 B),-3.93
12M 2022,213 B,(69 B),144 B,15.54
12M 2023,19 B,(140 B),(121 B),-13.05
12M 2024,5 B,(89 B),(83 B),-9.03
