Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,55 B,(74 B),(19 B),-10.91
12M 2012,93 B,(22 B),71 B,40.11
12M 2013,77 B,(15 B),62 B,34.75
12M 2014,47 B,(16 B),31 B,17.56
12M 2015,27 B,(109 B),(82 B),-46.27
12M 2016,116 B,(72 B),44 B,24.63
12M 2017,94 B,(172 B),(78 B),-44.29
12M 2018,224 B,(406 B),(182 B),-102.67
12M 2019,8 B,(339 B),(331 B),-62.19
12M 2020,164 B,(126 B),39 B,7.28
12M 2021,341 B,(323 B),18 B,3.40
12M 2022,275 B,(90 B),185 B,34.86
12M 2023,462 B,(215 B),246 B,46.36
12M 2024,375 B,(280 B),95 B,17.95
