Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.77,0.59,0.71,1.8,0.0,0.0,0.68,0.4,0.8
12M 2009,0.33,0.28,0.59,1.67,0.0,0.0,0.58,0.35,0.67
12M 2010,0.98,0.95,0.6,1.66,0.0,0.0,0.47,0.36,0.66
12M 2011,1.22,1.18,0.49,1.55,0.0,0.0,0.44,0.32,0.55
12M 2012,1.22,1.2,0.26,1.32,0.0,0.0,0.17,0.2,0.32
12M 2013,0.83,0.81,0.16,1.26,0.0,0.0,0.11,0.13,0.26
12M 2014,0.77,0.76,0.13,1.26,0.0,0.0,0.08,0.1,0.26
12M 2015,0.73,0.72,0.09,1.24,0.0,0.0,0.07,0.07,0.24
12M 2016,0.97,0.96,0.14,1.27,0.0,0.0,0.12,0.11,0.27
12M 2017,1.02,1.01,0.19,1.35,0.0,0.0,0.19,0.14,0.35
12M 2018,0.55,0.54,0.29,1.54,0.0,0.0,0.29,0.19,0.54
12M 2019,6.62,6.62,0.14,1.16,0.0,0.0,0.13,0.12,0.16
