Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,1.21 B,-11.64,-8.76,3.89,,-7.22%,-13.02%,1.45%,0.34
12M 2009,1.21 B,1.11,78.38,3.89,,0.73%,1.23%,-2.66%,-1.01
12M 2010,1.21 B,2.20,39.09,3.12,,1.43%,2.37%,0.80%,0.32
12M 2011,1.21 B,0.67,149.25,2.92,,0.46%,0.72%,2.87%,1.24
12M 2012,2.24 B,-4.01,-22.94,5.38,,-3.35%,-4.44%,-1.77%,-1.37
12M 2013,2.27 B,0.70,528.57,14.46,,0.61%,0.76%,2.65%,1.86
12M 2014,2.27 B,0.31,774.19,8.91,,0.27%,0.34%,1.96%,1.22
12M 2015,2.27 B,0.11,2263.64,9.29,,0.10%,0.12%,1.50%,1.10
12M 2016,2.27 B,0.11,2181.82,9.58,,0.10%,0.12%,1.16%,1.54
12M 2017,2.27 B,0.06,1616.67,3.38,,0.05%,0.06%,2.59%,1.16
12M 2018,3.60 B,-7.23,-16.04,10.69,(10.35 B),-9.26%,-14.23%,-8.53%,-7.28
12M 2019,22.21 B,-2.12,-23.58,44.59,(19.04 B),-1.90%,-2.21%,-2.31%,-1.30
