Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,24.03 B,15.28,5.43,1.72,,6.22%,8.53%,10.60%,
12M 2009,24.04 B,19.37,7.28,3.38,,6.58%,9.71%,-9.28%,
12M 2010,23.96 B,29.72,7.10,3.79,,8.74%,12.68%,-4.59%,
12M 2011,28.04 B,33.00,3.48,1.28,,8.80%,12.86%,0.54%,
12M 2012,28.04 B,39.64,3.41,1.71,,9.46%,13.39%,-1.53%,
12M 2013,28.24 B,41.56,4.69,1.69,,7.25%,10.56%,-1.62%,
12M 2014,32.02 B,40.21,7.44,2.63,,6.57%,9.96%,-2.54%,
12M 2015,32.02 B,28.27,6.54,1.59,,4.56%,6.57%,-0.67%,
12M 2016,32.02 B,47.97,3.59,1.56,,6.15%,8.32%,-1.45%,
12M 2017,32.02 B,45.52,5.45,1.93,,5.51%,7.31%,-1.37%,
12M 2018,32.02 B,57.13,4.69,2.25,63.06 B,6.48%,8.39%,0.19%,
12M 2019,32.02 B,61.69,4.90,2.56,(44.47 B),6.52%,8.28%,-0.18%,
12M 2020,32.02 B,58.08,4.24,3.34,110.84 B,5.74%,7.24%,0.31%,
12M 2021,32.02 B,41.47,4.15,2.55,(74.53 B),4.00%,4.99%,-0.31%,
12M 2022,32.02 B,56.16,6.37,5.56,518.45 B,5.31%,6.47%,-0.11%,
12M 2023,32.02 B,47.17,5.60,0.58,"4,793.94 B",0.64%,5.42%,3.22%,
12M 2024,32.02 B,51.97,8.27,1.01,"4,846.25 B",0.65%,5.65%,1.76%,
