Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12M 2009,1.54,1.17,0.35,2.44,0.0,0.0,-0.03,0.14,1.44
12M 2010,1.55,1.13,0.3,2.36,0.0,0.0,-0.08,0.13,1.36
12M 2011,1.54,1.12,0.13,1.83,0.0,0.0,-0.09,0.07,0.83
12M 2012,2.1,1.67,0.3,1.83,0.0,0.0,0.0,0.16,0.83
12M 2013,1.27,0.91,0.54,2.19,0.0,0.0,0.33,0.25,1.19
12M 2014,1.3,0.94,0.4,2.11,0.0,0.0,0.18,0.19,1.11
12M 2015,1.26,0.91,0.51,2.59,0.0,0.0,-0.02,0.2,1.59
12M 2016,1.21,0.8,0.73,2.4,0.0,0.0,0.63,0.31,1.4
12M 2017,1.04,0.76,0.94,2.91,0.0,0.0,0.59,0.32,1.91
12M 2018,1.05,0.79,1.12,2.9,0.0,0.0,0.86,0.39,1.9
12M 2019,1.88,1.54,0.96,2.74,0.0,0.0,0.66,0.35,1.74
12M 2020,1.36,1.18,1.05,3.98,0.0,0.0,0.68,0.26,2.98
12M 2021,1.35,1.03,0.98,3.96,0.0,0.0,0.23,0.25,2.96
12M 2022,0.88,0.63,2.24,17.76,0.0,0.0,-0.89,0.13,16.76
12M 2023,0.16,0.11,-0.5,-0.94,-0.0,0.0,-0.48,0.53,-1.94
12M 2024,0.09,0.07,-0.46,-0.54,-0.0,0.0,-0.45,0.85,-1.54
