Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,0 B,(0 B),0 B,2.29
12M 2009,(0 B),,(0 B),-1.67
12M 2010,0 B,(0 B),0 B,0.54
12M 2011,(0 B),,(0 B),-0.36
12M 2012,0 B,(0 B),0 B,1.56
12M 2013,(0 B),,(0 B),-2.70
12M 2014,(0 B),,(0 B),-3.46
12M 2015,3 B,,3 B,30.23
12M 2016,9 B,,9 B,39.78
12M 2017,(12 B),,(12 B),-53.03
12M 2018,(1 B),,(1 B),-2.95
12M 2019,(0 B),,(0 B),-1.45
12M 2020,(1 B),,(1 B),-3.34
12M 2021,2 B,,2 B,7.54
12M 2022,2 B,,2 B,7.88
12M 2023,(2 B),(0 B),(2 B),-8.61
12M 2024,(1 B),,(1 B),-6.28
