Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,49 B,(176 B),(127 B),-1234.28
12M 2009,360 B,(61 B),298 B,2957.08
12M 2010,571 B,(542 B),29 B,285.35
12M 2011,764 B,"(1,003 B)",(239 B),-2365.17
12M 2012,518 B,"(1,028 B)",(509 B),-505.09
12M 2013,"1,113 B",(322 B),791 B,784.17
12M 2014,"1,131 B",(502 B),629 B,623.59
12M 2015,634 B,(553 B),81 B,80.22
12M 2016,723 B,(171 B),552 B,546.96
12M 2017,707 B,(674 B),33 B,33.19
12M 2018,"1,093 B","(1,645 B)",(551 B),-546.77
12M 2019,"1,279 B",(983 B),296 B,293.81
12M 2020,"1,516 B",(537 B),978 B,969.96
12M 2021,"1,565 B",(766 B),799 B,792.59
12M 2022,"1,516 B",(930 B),587 B,581.74
12M 2023,"1,664 B",(61 B),"1,603 B",1589.08
12M 2024,451 B,(23 B),428 B,424.80
