Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.22,1.17,0.77,2.52,0.0,0.0,0.64,0.3,1.52
12M 2009,1.34,1.28,0.94,2.43,0.0,0.0,0.64,0.39,1.43
12M 2010,1.04,0.95,0.45,1.84,0.0,0.0,0.29,0.24,0.84
12M 2011,0.94,0.86,0.86,2.37,0.0,0.0,0.72,0.36,1.37
12M 2012,1.32,1.26,1.43,2.83,0.0,0.0,1.19,0.51,1.83
12M 2013,1.55,1.52,1.15,2.58,0.0,0.0,0.86,0.45,1.58
12M 2014,1.64,1.6,0.99,2.43,0.0,0.0,0.65,0.41,1.43
12M 2015,1.55,1.5,1.0,2.39,0.0,0.0,0.7,0.42,1.39
12M 2016,2.16,2.09,0.89,2.31,0.0,0.0,0.5,0.38,1.31
12M 2017,1.65,1.58,0.83,2.45,0.0,0.0,0.5,0.34,1.45
12M 2018,1.69,1.63,1.0,2.92,0.0,0.0,0.64,0.34,1.91
12M 2019,1.52,1.47,0.77,2.6,0.0,0.0,0.37,0.3,1.6
12M 2020,1.64,1.61,0.5,2.3,0.0,0.0,-0.08,0.22,1.29
12M 2021,1.38,1.33,0.2,2.05,0.0,0.0,-0.15,0.1,1.05
12M 2022,1.16,1.08,0.25,2.01,0.0,0.0,0.04,0.12,1.0
12M 2023,1.16,1.09,0.79,3.1,0.0,0.0,0.48,0.26,2.1
12M 2024,1.56,1.48,1.34,3.48,0.0,0.0,0.87,0.38,2.48
