Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.10 B,189.44,19.00,0.16,,1.00%,2.51%,20.90%,4.87
12M 2009,0.10 B,148.18,69.85,0.65,,0.82%,1.99%,31.05%,9.70
12M 2010,0.10 B,3766.65,6.90,1.56,,18.99%,35.01%,25.92%,12.56
12M 2011,0.10 B,4732.94,7.01,1.40,,13.95%,33.06%,24.96%,9.40
12M 2012,1.01 B,470.96,2.80,0.36,,9.27%,26.23%,24.56%,5.73
12M 2013,1.01 B,209.32,5.49,0.26,,3.40%,8.76%,17.55%,2.47
12M 2014,1.01 B,27.79,33.29,0.22,,0.48%,1.17%,10.83%,3.27
12M 2015,1.01 B,-168.88,-1.72,0.11,,-2.90%,-6.93%,2.87%,1.01
12M 2016,1.01 B,-104.68,-6.88,0.26,,-2.00%,-4.62%,4.77%,1.69
12M 2017,1.01 B,109.21,15.20,0.48,,1.86%,4.56%,6.54%,2.38
12M 2018,1.01 B,324.35,5.50,0.27,"1,663.58 B",4.07%,11.86%,14.17%,4.37
12M 2019,1.01 B,437.25,3.67,0.24,"1,797.53 B",5.76%,14.97%,14.02%,4.15
12M 2020,1.01 B,466.51,4.14,0.39,"1,647.66 B",6.30%,14.46%,12.43%,4.90
12M 2021,1.01 B,478.39,4.54,0.37,"1,640.34 B",6.34%,13.02%,11.89%,8.03
12M 2022,1.01 B,603.59,7.17,0.62,"1,863.73 B",6.55%,13.14%,16.40%,8.21
12M 2023,1.01 B,184.52,28.45,0.60,"1,636.38 B",1.66%,5.13%,8.37%,1.78
12M 2024,1.01 B,152.42,181.24,2.54,"1,684.08 B",1.10%,3.82%,7.06%,1.49
