Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,439 B,(2 B),437 B,607.07
12M 2009,(50 B),(3 B),(54 B),-74.39
12M 2010,(85 B),(2 B),(88 B),-121.87
12M 2011,(20 B),(6 B),(26 B),-36.17
12M 2012,92 B,(4 B),88 B,122.89
12M 2013,202 B,(30 B),173 B,239.69
12M 2014,153 B,(2 B),151 B,209.30
12M 2015,259 B,(3 B),256 B,355.64
12M 2016,(29 B),(1 B),(30 B),-42.20
12M 2017,(110 B),(3 B),(113 B),-156.41
12M 2018,326 B,(15 B),311 B,432.39
12M 2019,(235 B),(2 B),(237 B),-329.67
12M 2020,521 B,(4 B),517 B,718.60
12M 2021,186 B,(3 B),183 B,254.65
12M 2022,78 B,(2 B),76 B,105.97
12M 2023,110 B,(3 B),107 B,148.70
12M 2024,231 B,(7 B),225 B,312.25
