Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,8.43 B,2.56,132.42,6.87,,2.60%,17.66%,13.79%,2.77
12M 2009,8.43 B,3.33,41.44,3.23,,2.12%,18.76%,4.72%,1.00
12M 2010,8.43 B,1.89,52.38,1.43,,1.26%,8.19%,7.36%,1.06
12M 2011,8.43 B,-2.46,-32.11,1.02,,-1.01%,-2.07%,4.99%,0.99
12M 2012,14.93 B,4.63,37.80,3.35,,3.23%,3.64%,4.31%,12.45
12M 2013,14.93 B,4.70,32.98,2.54,,3.09%,3.56%,4.53%,
12M 2014,14.93 B,5.87,25.04,2.44,,0.00%,4.31%,4.26%,
12M 2015,14.93 B,-10.16,-8.86,1.68,,-7.14%,-8.67%,-8.46%,
12M 2016,14.93 B,-16.09,-4.97,1.38,,-12.92%,-16.30%,-9.21%,
12M 2017,14.93 B,-5.41,-18.48,1.84,,-4.57%,-5.83%,-5.91%,
12M 2018,14.93 B,-4.97,-20.12,1.70,10.65 B,-4.35%,-5.63%,-5.79%,-67.84
12M 2019,14.93 B,-31.84,-2.01,1.30,(437.72 B),-38.59%,-55.95%,-41.68%,-219.82
12M 2020,14.93 B,-3.64,-13.74,1.71,(18.35 B),-5.32%,-6.85%,-6.96%,-23.39
12M 2021,14.93 B,-0.41,-121.95,1.35,40.86 B,-0.62%,-0.78%,-0.38%,-12.25
12M 2022,14.93 B,0.43,116.28,1.15,42.23 B,0.60%,0.81%,0.14%,1.57
12M 2023,14.93 B,-2.43,-6.17,0.40,(10.95 B),-3.74%,-4.78%,-5.77%,-14.59
12M 2024,14.93 B,-1.70,-12.94,0.55,11.69 B,-2.57%,-3.45%,-2.98%,-15.17
