Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,59 B,(23 B),36 B,10.75
12M 2014,728 B,(10 B),718 B,169.54
12M 2015,(511 B),(13 B),(524 B),-100.23
12M 2016,(306 B),(5 B),(311 B),-59.12
12M 2017,17 B,(5 B),12 B,2.23
12M 2018,121 B,(2 B),119 B,22.73
12M 2019,(669 B),(106 B),(775 B),-109.02
12M 2020,"(2,430 B)",(26 B),"(2,457 B)",-218.83
12M 2021,"(1,340 B)",(18 B),"(1,358 B)",-76.87
12M 2022,(279 B),(31 B),(310 B),-11.22
12M 2023,"(2,043 B)",(33 B),"(2,076 B)",-54.93
12M 2024,(725 B),(31 B),(756 B),-15.79
