Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,111.52,0.00,111.52,,,,,
12M 2014,1.28,111.60,1.28,111.60,,,,,
12M 2015,0.78,108.37,0.78,107.03,,,,,
12M 2016,0.84,108.92,0.85,107.64,,,,,
12M 2017,2.14,107.33,2.17,106.03,,,,,
12M 2018,2.34,101.37,2.36,100.56,,,,,
12M 2019,0.80,169.18,0.84,161.31,,,,,
12M 2020,1.21,169.24,1.24,164.60,,,,,
12M 2021,0.98,169.56,0.99,167.36,,,,,
12M 2022,0.60,150.75,0.60,149.75,,,,,
12M 2023,0.58,142.09,0.59,141.57,,,,,
12M 2024,0.62,116.57,0.62,116.17,,,,,
