Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(120 B),(124 B),(244 B),-81.45
12M 2009,187 B,(22 B),165 B,55.00
12M 2010,223 B,(17 B),206 B,68.64
12M 2011,234 B,(18 B),216 B,72.00
12M 2012,(77 B),(17 B),(94 B),-31.25
12M 2013,100 B,(16 B),84 B,27.96
12M 2014,126 B,(48 B),78 B,25.89
12M 2015,242 B,(40 B),202 B,67.45
12M 2016,205 B,(41 B),164 B,54.54
12M 2017,591 B,(221 B),370 B,123.28
12M 2018,(171 B),(22 B),(192 B),-64.14
12M 2019,370 B,(18 B),352 B,117.39
12M 2020,714 B,(47 B),668 B,222.61
12M 2021,653 B,(41 B),612 B,203.91
12M 2022,668 B,(59 B),609 B,203.11
12M 2023,43 B,(255 B),(212 B),-70.67
12M 2024,(146 B),(95 B),(241 B),-80.42
