Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,2.07,1.4,0.35,1.77,0.0,0.0,0.33,0.2,0.73
12M 2009,3.27,1.59,0.15,1.39,0.0,0.0,0.15,0.11,0.34
12M 2010,8.46,4.49,0.0,1.17,0.0,0.0,-0.06,0.0,0.13
12M 2011,6.08,3.46,0.04,1.19,0.0,0.0,-0.16,0.03,0.19
12M 2012,8.08,3.46,0.04,1.15,0.0,0.0,-0.05,0.03,0.15
12M 2013,7.63,3.88,0.0,1.16,0.0,0.0,-0.09,0.0,0.16
12M 2014,7.25,4.72,0.0,1.17,0.0,0.0,-0.11,0.0,0.17
12M 2015,6.37,3.82,0.0,1.18,0.0,0.0,-0.17,0.0,0.18
12M 2016,6.77,4.49,0.0,1.17,0.0,0.0,-0.18,0.0,0.17
12M 2017,5.64,3.84,0.02,1.19,0.0,0.0,-0.22,0.02,0.19
12M 2018,5.48,2.67,0.04,1.2,0.0,0.0,0.0,0.04,0.2
12M 2019,4.14,2.15,0.07,1.27,0.0,0.0,-0.02,0.05,0.27
12M 2020,5.83,3.44,0.0,1.19,0.0,0.0,-0.24,0.0,0.19
12M 2021,7.13,4.86,0.0,1.15,0.0,0.0,-0.4,0.0,0.15
12M 2022,8.8,6.35,0.0,1.12,0.0,0.0,-0.49,0.0,0.12
12M 2023,7.34,5.2,0.0,1.13,0.0,0.0,-0.3,0.0,0.13
12M 2024,13.4,5.72,0.0,1.07,0.0,0.0,-0.17,0.0,0.07
