Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,3.22,1.94,0.04,2.03,0.0,0.0,-0.57,0.02,0.38
12M 2009,3.03,1.7,0.03,1.84,0.0,0.0,-0.41,0.01,0.34
12M 2010,2.37,1.34,0.06,1.91,0.0,0.0,-0.4,0.03,0.43
12M 2011,1.46,0.77,0.16,2.26,0.0,0.0,-0.26,0.07,0.76
12M 2012,1.56,0.82,0.24,2.69,0.0,0.0,-0.24,0.09,1.17
12M 2013,1.35,0.67,0.36,3.15,0.0,0.0,-0.18,0.11,1.62
12M 2014,1.47,0.65,0.49,3.14,0.0,0.0,0.1,0.16,1.6
12M 2015,1.57,0.63,0.6,3.12,0.0,0.0,0.24,0.19,1.57
12M 2016,1.88,0.79,0.67,3.17,0.0,0.0,0.29,0.21,1.61
12M 2017,1.95,0.73,0.54,2.37,0.0,0.0,0.3,0.23,1.22
12M 2018,2.02,0.8,0.57,2.39,0.0,0.0,0.34,0.24,1.23
12M 2019,2.17,0.9,0.56,2.36,0.0,0.0,0.29,0.24,1.2
12M 2020,1.78,0.72,0.61,2.56,0.0,0.0,0.26,0.24,1.42
12M 2021,2.0,0.94,0.5,2.4,0.0,0.0,0.08,0.21,1.25
12M 2022,2.2,1.12,0.45,2.27,0.0,0.0,-0.03,0.2,1.13
12M 2023,2.42,1.28,0.39,2.2,0.0,0.0,-0.14,0.18,1.07
12M 2024,1.99,1.04,0.34,2.15,0.0,0.0,-0.13,0.16,1.02
