Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,13.36,,0.36,,1.02,,0.16,0.4,0.4,3.22
12M 2009,33.04,985.26,5.17,1013.13,11.05,14.01,0.37,0.36,0.95,0.89,0.16,0.16,0.42,0.42,3.03
12M 2010,31.52,805.8,7.4,829.92,11.58,10.1,0.45,0.44,0.96,0.88,0.19,0.18,0.59,0.59,2.37
12M 2011,38.25,776.35,8.86,805.74,9.54,9.45,0.47,0.43,0.99,1.0,,0.2,1.23,1.23,1.46
12M 2012,40.91,659.58,4.24,696.25,8.92,8.09,0.55,0.54,1.83,2.62,0.25,0.23,1.32,1.32,1.56
12M 2013,34.72,591.5,48.55,577.67,10.51,10.18,0.62,0.56,3.36,3.15,0.29,0.26,2.01,2.01,1.35
12M 2014,36.34,686.26,87.02,635.58,10.04,9.33,0.53,0.49,3.07,2.93,0.29,0.28,1.73,1.73,1.47
12M 2015,39.8,673.02,81.31,631.51,9.17,9.98,0.54,0.53,2.83,2.6,0.3,0.29,1.66,1.66,1.57
12M 2016,49.06,818.79,92.2,775.65,7.44,7.19,0.45,0.45,2.25,2.2,0.24,0.24,1.05,1.05,1.88
12M 2017,53.69,928.95,88.93,893.71,6.8,7.04,0.39,0.37,2.09,2.08,0.21,0.2,0.87,0.87,1.95
12M 2018,51.63,869.85,75.44,846.04,7.07,6.94,0.42,0.41,2.45,2.49,0.23,0.23,0.94,0.94,2.02
12M 2019,57.2,977.74,76.96,957.98,6.38,6.43,0.37,0.36,2.45,2.49,0.22,0.21,0.77,0.77,2.17
12M 2020,47.71,1058.23,76.39,1029.55,7.65,8.33,0.34,0.32,2.84,2.87,0.21,0.21,0.89,0.89,1.78
12M 2021,33.85,888.94,67.73,855.06,10.78,10.62,0.41,0.42,3.82,3.83,0.24,0.24,0.89,0.89,2.0
12M 2022,32.95,929.42,72.34,890.03,11.08,11.52,0.39,0.4,3.51,3.48,0.22,0.22,0.71,0.71,2.2
12M 2023,29.89,925.4,66.41,888.88,12.21,12.39,0.39,0.39,3.35,3.28,0.21,0.21,0.61,0.61,2.42
12M 2024,24.64,759.48,68.64,715.48,14.81,14.26,0.48,0.47,3.81,3.69,0.25,0.24,0.85,0.85,1.99
