Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,(24 B),(215 B),(240 B),-49.94
12M 2012,(26 B),(0 B),(26 B),-5.47
12M 2013,6 B,(0 B),6 B,1.15
12M 2014,(31 B),(2 B),(33 B),-6.94
12M 2015,33 B,(10 B),23 B,4.75
12M 2016,36 B,,36 B,7.58
12M 2017,79 B,,79 B,16.41
12M 2018,31 B,(0 B),31 B,6.38
12M 2019,76 B,,76 B,15.75
12M 2020,85 B,,85 B,17.77
12M 2021,122 B,,122 B,25.39
12M 2022,1 B,(0 B),1 B,0.21
12M 2023,(0 B),(0 B),(0 B),-0.02
12M 2024,(6 B),(0 B),(6 B),-1.26
