Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,,,,0.00
12M 2009,(83 B),(0 B),(83 B),-4494.60
12M 2010,27 B,(0 B),27 B,0.90
12M 2011,56 B,(72 B),(15 B),-0.50
12M 2012,23 B,(37 B),(14 B),-0.39
12M 2013,"1,479 B",(261 B),"1,218 B",33.36
12M 2014,"1,234 B",(283 B),951 B,26.06
12M 2015,(113 B),(1 B),(114 B),-3.13
12M 2016,(180 B),(3 B),(182 B),-4.99
12M 2017,(987 B),(2 B),(988 B),-24.61
12M 2018,(506 B),(2 B),(508 B),-12.65
12M 2019,106 B,(17 B),88 B,1.98
12M 2020,292 B,(135 B),157 B,3.50
12M 2021,211 B,(1 B),210 B,4.71
12M 2022,283 B,(0 B),283 B,4.89
12M 2023,"2,098 B",(224 B),"1,874 B",32.36
