Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.00 B,-3248104.55,-0.00,0.00,,-12.01%,80.84%,0.03%,
12M 2009,0.02 B,392.85,0.00,0.00,,0.37%,0.39%,-0.08%,-0.47
12M 2010,30.08 B,-3.13,-32.59,13.23,,-2.01%,-2.83%,-1.10%,-0.37
12M 2011,30.08 B,-2.04,-100.49,18.13,,-1.65%,-1.96%,0.73%,
12M 2012,35.22 B,0.25,784.00,19.33,,0.19%,0.23%,0.83%,
12M 2013,36.51 B,18.48,6.01,1.74,,4.13%,11.87%,13.29%,2.40
12M 2014,36.51 B,8.92,13.57,1.35,,1.83%,5.41%,12.12%,1.61
12M 2015,36.51 B,-13.89,-3.60,14.09,,-2.56%,-8.71%,-0.96%,-0.12
12M 2016,36.51 B,-62.27,-1.14,84.59,,-13.23%,-57.80%,-1.17%,-0.14
12M 2017,40.16 B,12.89,5.51,65.22,,2.90%,10.86%,-1.09%,-0.16
12M 2018,40.16 B,6.65,7.52,5.19,344.55 B,1.50%,7.42%,1.97%,0.17
12M 2019,44.69 B,6.20,8.06,2.23,913.90 B,1.59%,6.94%,6.12%,0.84
12M 2020,44.69 B,6.62,7.55,1.95,"1,020.02 B",1.56%,6.94%,6.71%,0.99
12M 2021,44.69 B,4.58,10.92,2.38,862.71 B,1.50%,4.54%,6.40%,0.84
12M 2022,57.92 B,0.05,3160.00,14.07,519.92 B,0.02%,0.05%,2.10%,0.26
12M 2023,57.92 B,3.63,28.93,0.61,"3,134.13 B",0.77%,2.93%,13.68%,1.28
