Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,0.16 B,360.89,0.00,0.00,,18.94%,25.40%,52.06%,24.28
12M 2012,2.35 B,25.45,7.82,2.12,,13.85%,18.90%,22.15%,15.75
12M 2013,2.35 B,12.53,13.97,2.00,,6.77%,9.07%,13.20%,9.72
12M 2014,2.35 B,9.95,16.38,1.75,,5.28%,6.91%,8.84%,4.85
12M 2015,2.35 B,12.09,11.41,1.68,,6.73%,7.88%,9.76%,8.05
12M 2016,2.35 B,5.92,12.84,1.11,,3.40%,3.78%,5.00%,5.46
12M 2017,2.35 B,10.32,11.05,1.51,,5.82%,6.30%,6.86%,15.79
12M 2018,2.35 B,22.43,5.93,1.32,81.70 B,11.11%,12.46%,13.19%,85.88
12M 2019,2.35 B,22.26,6.33,1.32,89.79 B,9.92%,11.33%,12.05%,19.33
12M 2020,2.35 B,18.68,7.60,1.45,81.20 B,7.73%,8.81%,10.08%,9.67
12M 2021,2.35 B,21.86,14.09,3.63,84.87 B,9.29%,10.46%,9.50%,20.25
12M 2022,2.35 B,53.76,5.77,2.35,172.73 B,19.34%,21.66%,22.81%,67.37
12M 2023,2.35 B,97.40,4.99,2.19,309.29 B,27.60%,31.38%,36.91%,66.46
12M 2024,2.35 B,102.45,4.31,2.12,315.70 B,22.04%,26.75%,27.97%,39.72
