Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,84 B,(71 B),13 B,81.10
12M 2012,66 B,(74 B),(8 B),-3.20
12M 2013,69 B,(37 B),31 B,13.30
12M 2014,65 B,(80 B),(15 B),-6.57
12M 2015,63 B,(16 B),48 B,20.28
12M 2016,64 B,(11 B),53 B,22.67
12M 2017,47 B,(32 B),15 B,6.43
12M 2018,53 B,(72 B),(19 B),-8.17
12M 2019,89 B,(91 B),(2 B),-0.87
12M 2020,77 B,(63 B),14 B,5.92
12M 2021,105 B,(56 B),49 B,21.02
12M 2022,139 B,(151 B),(12 B),-5.10
12M 2023,335 B,(236 B),99 B,42.31
12M 2024,275 B,(198 B),77 B,32.69
