Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,0.52,0.45,1.5,3.66,0.0,0.0,1.34,0.41,2.06
12M 2009,0.63,0.56,2.84,5.47,0.0,0.0,2.57,0.52,3.64
12M 2010,2.34,2.27,1.29,2.97,0.0,0.0,1.22,0.43,1.69
12M 2011,1.01,0.96,0.9,2.11,0.0,0.0,0.86,0.43,1.09
12M 2012,1.5,1.4,1.63,2.91,0.0,0.0,1.6,0.56,1.89
12M 2013,0.73,0.64,-4.84,-5.32,-0.0,0.0,-4.76,0.91,-6.23
12M 2014,0.47,0.4,-4.98,-5.35,-0.0,0.0,-4.84,0.93,-6.34
12M 2015,0.28,0.22,-2.69,-2.35,-0.0,0.0,-2.58,1.14,-3.36
12M 2016,0.27,0.21,-1.67,-1.09,-0.0,0.0,-1.65,1.54,-2.09
12M 2017,0.22,0.18,-1.6,-1.11,-0.0,0.0,-1.58,1.45,-2.11
12M 2018,0.97,0.9,3.36,5.34,0.0,0.0,3.32,0.63,4.34
12M 2019,1.01,0.95,4.04,6.12,0.0,0.0,3.99,0.66,5.12
12M 2020,0.89,0.85,7.2,9.71,0.0,0.0,7.15,0.74,8.71
12M 2021,0.9,0.85,9.14,12.03,0.0,0.0,9.02,0.76,11.01
12M 2022,0.93,0.9,9.51,12.19,0.0,0.0,9.37,0.78,11.12
12M 2023,1.0,0.74,1.05,3.26,0.0,0.0,0.65,0.32,2.04
12M 2024,1.69,1.24,0.41,2.1,0.0,0.0,0.35,0.19,0.9
