Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(171 B),(26 B),(197 B),-35.60
12M 2009,51 B,(16 B),35 B,6.28
12M 2010,355 B,(48 B),307 B,55.34
12M 2011,(197 B),(19 B),(216 B),-39.00
12M 2012,(12 B),(58 B),(70 B),-12.67
12M 2013,125 B,(68 B),57 B,10.35
12M 2014,(59 B),(35 B),(94 B),-16.92
12M 2015,11 B,(69 B),(58 B),-10.52
12M 2016,22 B,(7 B),15 B,2.67
12M 2017,(59 B),(1 B),(60 B),-10.91
12M 2018,(165 B),(5 B),(170 B),-30.72
12M 2019,(2 B),(0 B),(2 B),-0.32
12M 2020,(59 B),(1 B),(60 B),-10.80
12M 2021,(58 B),(0 B),(58 B),-10.54
12M 2022,(15 B),(1 B),(16 B),-2.91
12M 2023,(67 B),(3 B),(71 B),-12.78
12M 2024,16 B,(13 B),3 B,0.58
