Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,326 B,(301 B),26 B,54.69
12M 2008,373 B,(308 B),66 B,141.06
12M 2009,"1,670 B",(330 B),"1,340 B",2872.93
12M 2010,"2,248 B",(353 B),"1,895 B",325.05
12M 2011,"2,174 B",(477 B),"1,698 B",291.14
12M 2012,"3,042 B","(1,355 B)","1,686 B",289.19
12M 2013,"1,993 B","(1,089 B)",904 B,155.05
12M 2014,"3,861 B","(1,425 B)","2,436 B",417.72
12M 2015,"3,486 B","(1,008 B)","2,478 B",424.95
12M 2016,"4,585 B",(905 B),"3,680 B",315.52
12M 2017,"5,174 B","(1,524 B)","3,651 B",313.06
12M 2018,"4,653 B","(3,512 B)","1,142 B",97.90
12M 2019,"7,398 B","(2,034 B)","5,364 B",459.99
12M 2020,"9,337 B","(1,919 B)","7,418 B",636.05
12M 2021,"7,989 B","(2,250 B)","5,739 B",492.14
12M 2022,"8,804 B","(1,789 B)","7,016 B",601.58
12M 2023,"12,415 B","(1,824 B)","10,591 B",908.19
12M 2024,"12,455 B","(2,162 B)","10,293 B",882.60
