Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2007,1.43,1.0,0.06,2.12,0.0,0.0,-0.14,0.03,1.03
12M 2008,0.56,0.35,0.16,4.55,0.0,0.0,-0.06,0.04,3.42
12M 2009,0.52,0.34,1.11,7.99,0.0,0.0,0.57,0.14,6.72
12M 2010,2.6,2.07,0.06,1.5,0.0,0.0,-0.32,0.04,0.45
12M 2011,2.87,2.33,0.08,1.49,0.0,0.0,-0.36,0.05,0.44
12M 2012,2.76,2.26,0.11,1.56,0.0,0.0,-0.37,0.07,0.51
12M 2013,2.41,1.8,0.2,1.69,0.0,0.0,-0.24,0.12,0.64
12M 2014,2.18,1.73,0.24,1.77,0.0,0.0,-0.28,0.14,0.7
12M 2015,2.33,1.9,0.19,1.72,0.0,0.0,-0.31,0.11,0.66
12M 2016,2.41,1.93,0.12,1.65,0.0,0.0,-0.36,0.07,0.59
12M 2017,2.43,1.95,0.12,1.62,0.0,0.0,-0.33,0.07,0.58
12M 2018,1.95,1.4,0.1,1.59,0.0,0.0,-0.12,0.06,0.54
12M 2019,2.54,1.95,0.09,1.53,0.0,0.0,-0.24,0.06,0.48
12M 2020,2.26,1.76,1.07,3.52,0.0,0.0,0.75,0.3,1.81
12M 2021,1.8,1.49,1.23,3.48,0.0,0.0,0.63,0.35,1.87
12M 2022,3.1,2.39,1.25,3.16,0.0,0.0,0.82,0.4,1.58
12M 2023,3.51,2.91,1.07,2.93,0.0,0.0,0.6,0.37,1.4
12M 2024,4.09,3.44,1.0,2.79,0.0,0.0,0.44,0.36,1.3
