Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,14 B,(8 B),6 B,8.57
12M 2012,4 B,(20 B),(16 B),-16.36
12M 2013,23 B,,(10 B),-9.75
12M 2014,0 B,(36 B),(36 B),-34.29
12M 2015,61 B,(26 B),35 B,33.85
12M 2016,13 B,(50 B),(37 B),-35.23
12M 2017,44 B,(17 B),27 B,25.81
12M 2018,21 B,(19 B),2 B,1.91
12M 2019,29 B,(54 B),(26 B),-8.12
12M 2020,86 B,(24 B),62 B,19.78
12M 2021,92 B,(17 B),75 B,23.99
12M 2022,71 B,(38 B),33 B,10.40
12M 2023,117 B,(48 B),69 B,21.99
12M 2024,135 B,(68 B),67 B,21.30
