Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2010,,,,,,,,,,,,,,,1.06
12M 2011,16.19,53.27,21.73,47.73,22.54,,6.85,,139.11,,4.09,,13.04,,1.2
12M 2012,10.72,68.46,20.3,58.88,34.05,161.77,5.33,5.15,108.85,97.8,3.08,2.87,8.07,8.07,1.6
12M 2013,4.8,59.36,30.55,33.61,76.1,75.24,6.15,5.39,123.88,126.31,3.09,2.69,9.32,9.32,1.41
12M 2014,21.28,57.4,61.58,17.1,17.15,11.15,6.36,6.78,134.96,140.0,2.42,2.18,7.94,7.94,1.4
12M 2015,28.31,41.79,67.61,2.49,12.89,19.31,8.73,11.2,131.4,199.43,2.56,3.01,-4.11,-4.11,0.1
12M 2016,5.84,20.84,131.97,-105.29,62.47,61.24,17.52,19.71,66.63,91.16,5.67,5.91,-2.6,-2.6,0.16
12M 2017,1.27,14.2,145.19,-129.72,287.68,322.55,25.7,31.2,122.5,153.4,9.18,9.69,-2.89,-2.89,0.13
12M 2018,1.78,9.97,181.84,-170.09,204.58,233.06,36.62,54.16,145.55,170.69,10.5,11.68,-2.18,-2.18,0.09
12M 2019,3.52,4.84,355.11,-346.75,103.68,92.79,75.39,99.17,114.73,154.52,10.5,11.41,-0.81,-0.81,0.02
12M 2020,6.38,13.13,2606.06,-2586.55,57.2,213.23,27.79,26.33,28.83,44.2,3.25,2.76,-0.08,-0.08,0.02
12M 2021,5.63,19.33,1808.86,-1783.9,64.78,38.69,18.88,9.63,115.75,224.24,3.85,3.48,-0.09,-0.09,0.02
12M 2022,7.32,13.22,1243.57,-1223.03,49.86,39.68,27.61,34.01,3806.44,4827.07,5.78,6.57,-0.1,-0.1,0.01
12M 2023,8.02,4.62,723.41,-710.77,45.53,31.64,78.96,122.97,9690.89,9163.22,12.78,13.34,-0.13,-0.13,0.01
12M 2024,5.96,2.3,451.58,-443.32,61.27,57.16,158.99,194.38,889.99,898.45,20.94,22.62,-0.17,-0.17,0.01
