Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.53 B,-30.58,-12.10,27.96,,-5.34%,-6.45%,-1.80%,-3.14
12M 2009,3.53 B,32.40,11.11,22.80,,5.47%,6.25%,0.22%,0.63
12M 2010,3.53 B,46.21,9.74,22.32,,7.79%,8.34%,1.08%,3.44
12M 2011,3.53 B,12.93,61.10,34.41,,2.34%,2.52%,1.19%,3.19
12M 2012,3.54 B,30.98,55.20,14.82,,4.02%,5.54%,4.84%,5.57
12M 2013,4.99 B,55.72,25.13,11.88,,3.78%,6.24%,2.19%,3.36
12M 2014,6.47 B,59.74,21.59,8.24,,3.88%,4.98%,2.51%,4.26
12M 2015,6.89 B,33.12,42.57,8.53,,2.05%,2.65%,2.03%,2.86
12M 2016,6.89 B,256.97,5.84,10.92,,12.51%,16.03%,0.30%,0.41
12M 2017,7.41 B,174.86,7.32,10.11,,8.45%,10.66%,0.06%,0.06
12M 2018,74.08 B,8.37,16.61,10.38,136.56 B,3.54%,4.89%,0.45%,0.42
12M 2019,80.63 B,3.22,42.24,10.28,158.60 B,0.91%,1.14%,0.42%,0.58
12M 2020,80.63 B,3.85,27.53,12.60,13.29 B,1.05%,1.35%,-0.20%,-0.25
12M 2021,80.63 B,2.43,38.68,10.83,34.60 B,0.63%,0.81%,-0.13%,-0.17
12M 2022,88.69 B,2.00,35.50,5.61,167.82 B,0.56%,0.70%,0.36%,0.47
12M 2023,97.56 B,3.38,18.34,4.26,189.83 B,0.99%,1.24%,0.40%,0.58
12M 2024,97.56 B,6.75,22.07,8.21,256.14 B,1.84%,2.34%,0.37%,0.74
