Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,10.26,10.26,0.16,1.21,0.0,0.0,0.15,0.13,0.21
12M 2009,9.67,9.67,0.1,1.14,0.0,0.0,0.09,0.09,0.14
12M 2010,9.14,9.14,0.05,1.07,0.0,0.0,0.02,0.04,0.07
12M 2011,4.3,4.3,0.05,1.08,0.0,0.0,0.05,0.05,0.08
12M 2012,1.81,1.8,0.17,1.38,0.0,0.0,0.12,0.12,0.26
12M 2013,2.07,0.59,0.18,1.65,0.0,0.0,0.16,0.11,0.28
12M 2014,3.19,1.19,0.16,1.28,0.0,0.0,0.13,0.13,0.25
12M 2015,3.57,2.08,0.2,1.29,0.0,0.0,0.16,0.15,0.26
12M 2016,5.41,4.42,0.2,1.28,0.0,0.0,0.18,0.15,0.26
12M 2017,6.87,5.04,0.2,1.26,0.0,0.0,0.18,0.15,0.24
12M 2018,3.91,2.81,0.26,1.38,0.0,0.0,0.24,0.19,0.36
12M 2019,2.86,2.05,0.16,1.25,0.0,0.0,0.16,0.13,0.24
12M 2020,1.86,1.27,0.19,1.28,0.0,0.0,0.18,0.14,0.27
12M 2021,1.37,0.88,0.19,1.27,0.0,0.0,0.19,0.15,0.27
12M 2022,1.12,0.69,0.18,1.26,0.0,0.0,0.17,0.14,0.26
12M 2023,1.03,0.66,0.18,1.26,0.0,0.0,0.17,0.14,0.25
12M 2024,0.95,0.53,0.18,1.28,0.0,0.0,0.17,0.14,0.26
