Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,2.40 B,0.05,0.00,0.00,,0.01%,0.01%,0.02%,162.61
12M 2012,18.00 B,1.38,177.54,46.78,,0.91%,1.35%,1.64%,5.48
12M 2013,18.03 B,0.35,757.14,18.13,,0.22%,0.34%,3.17%,1.82
12M 2014,18.03 B,-6.02,-30.90,13.67,,-3.58%,-6.25%,0.22%,0.05
12M 2015,22.20 B,-0.87,-125.29,4.79,,-0.62%,-0.82%,0.58%,0.49
12M 2016,22.20 B,-1.68,-55.95,7.92,,-0.98%,-1.76%,-0.65%,-0.70
12M 2017,22.20 B,-0.35,-228.57,4.66,,-0.16%,-0.37%,1.77%,1.01
12M 2018,22.20 B,-2.41,-36.93,4.28,440.39 B,-0.71%,-2.60%,6.39%,3.80
12M 2019,22.20 B,-0.92,-152.17,6.06,175.85 B,-0.25%,-0.87%,1.37%,0.99
12M 2020,22.20 B,2.59,62.55,6.80,521.47 B,0.54%,2.40%,4.78%,2.05
12M 2021,22.20 B,-2.65,-56.60,4.54,354.70 B,-0.50%,-2.52%,2.04%,0.67
12M 2022,22.20 B,-7.60,-18.82,3.49,427.64 B,-1.30%,-7.78%,2.46%,0.48
12M 2023,22.20 B,-3.16,-44.30,2.71,452.89 B,-0.52%,-3.35%,2.20%,0.41
12M 2024,22.20 B,-8.77,-14.94,2.23,549.05 B,-1.34%,-10.24%,2.61%,0.52
