Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,(128 B),(16 B),(145 B),-72.36
12M 2011,(91 B),(28 B),(119 B),-29.65
12M 2012,126 B,(21 B),105 B,19.48
12M 2013,(663 B),(64 B),(727 B),-132.86
12M 2014,(969 B),(14 B),(983 B),-139.60
12M 2015,(852 B),(18 B),(869 B),-122.05
12M 2016,(767 B),(22 B),(789 B),-109.81
12M 2017,(583 B),(10 B),(593 B),-81.07
12M 2018,633 B,(15 B),618 B,84.48
12M 2019,(174 B),(2 B),(177 B),-24.16
12M 2020,(420 B),(3 B),(422 B),-57.76
12M 2021,(29 B),(3 B),(32 B),-4.41
12M 2022,(27 B),(6 B),(33 B),-4.49
12M 2023,26 B,(6 B),20 B,2.77
