Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.83 B,-120.21,-5.88,1.11,,-7.08%,-40.62%,-22.48%,-2.93
12M 2009,0.83 B,39.51,18.27,0.83,,2.03%,11.78%,17.29%,1.79
12M 2010,1.74 B,24.07,39.47,1.99,,2.52%,5.42%,15.82%,2.14
12M 2011,1.74 B,-25.38,-22.85,0.97,,-1.20%,-2.51%,2.53%,3.26
12M 2012,1.74 B,-60.37,-9.94,0.79,,-2.44%,-6.36%,0.76%,3.88
12M 2013,1.74 B,-59.34,-9.77,0.58,,-1.97%,-6.67%,5.27%,1.88
12M 2014,1.74 B,4438.13,0.58,2.23,,59.65%,93.68%,5.81%,4.12
12M 2015,1.74 B,-358.73,-5.23,3.07,,-4.56%,-8.06%,-16.75%,-5.69
12M 2016,1.74 B,-456.14,-2.66,1.62,,-6.22%,-11.09%,-17.54%,-4.31
12M 2017,1.74 B,-631.78,-0.68,0.76,,-9.10%,-18.48%,-19.01%,-3.62
12M 2018,1.74 B,-2007.51,-0.35,1.35,"(2,515.45 B)",-50.14%,-153.93%,-67.20%,-11.72
12M 2019,1.74 B,-147.16,-1.86,1.92,(93.11 B),-3.57%,-13.42%,-8.72%,-1.17
12M 2020,1.74 B,0.21,1952.38,3.79,(13.82 B),0.01%,0.02%,-2.61%,-0.30
12M 2021,1.74 B,-798.54,-0.71,6.54,"(1,283.17 B)",-30.34%,-155.92%,-141.91%,-6.64
12M 2022,1.74 B,-155.51,-0.64,1.23,(236.21 B),-21.31%,-58.16%,238.30%,-2.14
12M 2023,1.74 B,-46.12,-1.56,1.10,(81.04 B),-7.81%,-28.35%,17.86%,-284.76
12M 2024,1.74 B,36.45,2.47,5.49,49.13 B,2.92%,3.93%,48.77%,906.19
