Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.9,1.23,0.28,1.51,0.0,0.0,0.14,0.18,0.51
12M 2009,2.12,1.12,0.23,1.45,0.0,0.0,0.05,0.16,0.45
12M 2010,2.0,1.25,0.29,1.55,0.0,0.0,-0.0,0.19,0.54
12M 2011,1.52,0.91,0.18,1.56,0.0,0.0,0.01,0.12,0.56
12M 2012,2.02,1.45,0.06,1.45,0.0,0.0,-0.26,0.04,0.44
12M 2013,2.47,1.63,0.03,1.41,0.0,0.0,-0.28,0.02,0.4
12M 2014,3.34,1.89,0.0,1.29,0.0,0.0,-0.21,0.0,0.29
12M 2015,3.75,2.43,0.0,1.27,0.0,0.0,-0.3,0.0,0.27
12M 2016,4.84,3.56,0.0,1.22,0.0,0.0,-0.44,0.0,0.22
12M 2017,4.19,3.36,0.0,1.27,0.0,0.0,-0.52,0.0,0.24
12M 2018,4.4,3.28,0.02,1.19,0.0,0.0,-0.29,0.01,0.17
12M 2019,4.44,3.26,0.01,1.19,0.0,0.0,-0.36,0.01,0.17
12M 2020,2.4,2.01,0.65,1.87,0.0,0.0,0.29,0.35,0.85
12M 2021,3.11,2.67,0.3,1.47,0.0,0.0,-0.02,0.21,0.45
12M 2022,3.17,2.05,0.11,1.29,0.0,0.0,-0.11,0.08,0.27
12M 2023,6.18,4.18,0.0,1.14,0.0,0.0,-0.32,0.0,0.13
12M 2024,5.39,3.85,0.01,1.15,0.0,0.0,-0.33,0.0,0.14
