Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,(64 B),(43 B),(107 B),0.00
12M 2008,131 B,(106 B),25 B,8.75
12M 2009,16 B,(110 B),(94 B),-32.68
12M 2010,264 B,(220 B),44 B,15.06
12M 2011,323 B,(300 B),23 B,7.93
12M 2012,492 B,(54 B),438 B,151.62
12M 2013,196 B,(95 B),101 B,34.99
12M 2014,128 B,(111 B),17 B,5.79
12M 2015,669 B,(269 B),401 B,138.74
12M 2016,779 B,(44 B),735 B,254.57
12M 2017,"1,073 B",(352 B),721 B,62.38
12M 2018,576 B,(340 B),236 B,20.44
12M 2019,"1,097 B",(304 B),793 B,68.64
12M 2020,"1,217 B",(402 B),815 B,70.52
12M 2021,"1,414 B",(252 B),"1,162 B",100.61
12M 2022,260 B,(374 B),(115 B),-9.91
12M 2023,"1,396 B",(392 B),"1,004 B",86.93
12M 2024,"1,262 B",(581 B),680 B,65.44
