Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.89 B,105.20,7.60,1.70,,17.68%,26.76%,-10.35%,-1.86
12M 2009,2.89 B,20.87,27.79,1.04,,3.48%,5.06%,9.61%,3.80
12M 2010,2.89 B,37.16,32.62,1.86,,5.35%,8.27%,12.89%,5.78
12M 2011,2.89 B,35.05,30.81,1.48,,4.65%,7.24%,11.74%,6.59
12M 2012,2.89 B,122.20,10.90,1.37,,14.58%,21.10%,26.63%,37.88
12M 2013,2.89 B,112.60,39.96,3.76,,11.57%,16.28%,23.10%,58.16
12M 2014,2.89 B,100.89,36.87,2.74,,9.99%,12.92%,14.22%,80.56
12M 2015,2.89 B,179.71,21.95,2.59,,14.66%,18.67%,24.15%,281.97
12M 2016,2.89 B,243.17,18.80,2.82,,16.57%,20.22%,26.03%,419.04
12M 2017,11.55 B,60.86,21.28,3.07,,13.56%,17.21%,23.99%,641.54
12M 2018,11.55 B,60.40,22.35,2.85,"1,048.30 B",12.56%,14.97%,19.47%,429.05
12M 2019,11.55 B,89.35,18.80,3.11,"1,385.27 B",15.62%,18.60%,23.15%,745.31
12M 2020,11.55 B,95.18,16.81,3.10,"1,401.66 B",12.56%,23.47%,20.06%,36.38
12M 2021,11.55 B,110.06,14.26,2.74,"1,602.45 B",17.17%,25.20%,23.07%,6.02
12M 2022,11.55 B,83.16,17.74,2.23,"1,447.13 B",13.03%,16.74%,21.61%,10.51
12M 2023,11.55 B,101.20,15.81,2.23,"1,617.86 B",15.54%,17.71%,22.88%,31.08
12M 2024,10.40 B,109.31,16.51,2.11,"1,551.05 B",13.43%,15.49%,19.47%,11015.80
