Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.04 B,2938.95,0.00,0.00,,11.79%,43.86%,73.68%,10.62
12M 2009,4.04 B,41.48,12.54,3.59,,10.32%,18.50%,26.57%,6.21
12M 2010,4.04 B,107.99,11.95,7.31,,16.42%,38.62%,33.87%,10.33
12M 2011,4.04 B,79.27,14.13,5.10,,8.93%,22.47%,18.88%,7.05
12M 2012,4.05 B,64.71,21.33,5.92,,5.34%,15.74%,11.17%,5.93
12M 2013,4.47 B,40.66,32.71,5.20,,2.93%,8.32%,6.59%,3.87
12M 2014,31.53 B,6.01,66.56,5.57,,1.16%,2.78%,3.78%,2.55
12M 2015,31.53 B,-5.70,-24.21,1.63,,-1.02%,-2.75%,1.73%,0.50
12M 2016,31.53 B,-12.36,-22.17,3.40,,-2.40%,-6.35%,1.77%,0.38
12M 2017,31.53 B,-5.90,-31.02,1.89,,-1.16%,-3.13%,3.01%,0.68
12M 2018,31.53 B,-14.27,-11.49,1.68,606.83 B,-2.78%,-7.90%,-0.34%,-0.07
12M 2019,31.53 B,-36.08,-4.35,1.97,166.45 B,-7.20%,-25.05%,-3.62%,-0.53
12M 2020,31.53 B,-34.29,-4.20,2.06,373.98 B,-7.18%,-31.40%,-2.46%,-0.32
12M 2021,31.53 B,-44.52,-1.66,0.79,808.22 B,-11.65%,-69.25%,2.90%,0.39
12M 2022,31.53 B,0.55,118.18,0.45,"1,100.62 B",0.14%,0.86%,7.34%,1.14
12M 2023,31.53 B,5.62,9.61,0.40,"1,120.93 B",1.74%,8.11%,9.08%,1.25
12M 2024,31.53 B,8.25,7.15,0.43,"1,409.98 B",2.66%,10.70%,13.71%,1.93
