Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,9 B,(2 B),7 B,22.51
12M 2012,0 B,(1 B),(1 B),-2.39
12M 2013,19 B,(1 B),17 B,58.22
12M 2014,39 B,(1 B),39 B,128.64
12M 2015,6 B,(6 B),0 B,0.08
12M 2016,31 B,(2 B),29 B,48.78
12M 2017,(19 B),(1 B),(20 B),-33.52
12M 2018,(7 B),,(7 B),-11.43
12M 2019,(20 B),(2 B),(23 B),-37.51
12M 2020,(47 B),(3 B),(49 B),-82.07
12M 2021,(11 B),(2 B),(12 B),-8.78
12M 2022,(2 B),(2 B),(4 B),-2.68
12M 2023,0 B,(2 B),(2 B),-1.36
12M 2024,17 B,(3 B),14 B,10.13
