Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2010,2 B,(20 B),(18 B),-68.97
12M 2011,0 B,(24 B),(24 B),-42.93
12M 2012,17 B,(8 B),9 B,16.38
12M 2013,40 B,(37 B),2 B,3.99
12M 2014,(0 B),(16 B),(16 B),-28.34
12M 2015,2 B,(11 B),(9 B),-16.35
12M 2016,38 B,(5 B),34 B,61.06
12M 2017,13 B,(48 B),(35 B),-64.35
12M 2018,17 B,(11 B),6 B,11.38
12M 2019,99 B,(47 B),52 B,47.62
12M 2020,120 B,(46 B),74 B,67.36
12M 2021,74 B,(114 B),(40 B),-30.68
12M 2022,22 B,(348 B),(327 B),-248.05
12M 2023,40 B,(54 B),(14 B),-10.34
12M 2024,46 B,(44 B),3 B,2.00
