Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,135 B,(162 B),(27 B),-9.98
12M 2012,294 B,(174 B),120 B,44.10
12M 2013,124 B,(454 B),(331 B),-49.56
12M 2014,192 B,(644 B),(452 B),-51.82
12M 2015,458 B,(443 B),15 B,1.77
12M 2016,(79 B),(482 B),(562 B),-64.44
12M 2017,556 B,(501 B),56 B,6.37
12M 2018,733 B,(440 B),294 B,33.68
12M 2019,"1,126 B",(391 B),735 B,84.29
12M 2020,803 B,(317 B),486 B,55.82
12M 2021,35 B,(203 B),(168 B),-19.28
12M 2022,26 B,(156 B),(130 B),-14.95
12M 2023,95 B,(89 B),6 B,0.69
12M 2024,262 B,(109 B),153 B,17.58
