Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2011,2.71 B,53.25,0.00,0.00,,7.85%,33.61%,80.89%,
12M 2012,2.71 B,65.97,0.00,0.00,,7.45%,32.06%,43.68%,
12M 2013,6.67 B,36.41,0.00,0.00,,8.33%,35.71%,38.51%,92.87
12M 2014,8.72 B,37.69,34.49,3.46,,8.64%,15.16%,23.94%,67.80
12M 2015,8.72 B,19.95,41.35,2.71,,3.90%,7.88%,9.62%,3.79
12M 2016,8.72 B,31.26,26.39,2.07,,5.84%,11.25%,14.95%,7.23
12M 2017,8.72 B,38.68,12.93,0.81,,4.77%,12.60%,18.77%,5.99
12M 2018,8.72 B,55.80,6.74,0.47,956.45 B,5.48%,15.87%,22.59%,
12M 2019,8.72 B,58.79,7.65,0.55,"1,044.06 B",4.96%,14.90%,20.46%,5.45
12M 2020,8.72 B,14.69,26.28,0.70,434.83 B,1.50%,3.85%,4.64%,1.63
12M 2021,8.72 B,9.51,25.87,0.48,365.12 B,0.93%,2.45%,3.07%,1.36
12M 2022,8.72 B,18.69,10.22,0.28,605.58 B,1.72%,4.62%,10.04%,4.67
12M 2023,8.72 B,3.92,27.55,0.22,346.62 B,0.45%,0.97%,4.86%,3.04
12M 2024,8.72 B,7.46,10.32,0.14,353.29 B,0.90%,1.81%,5.30%,5.80
