Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.06,689.86,0.06,689.86,,,,,
12M 2009,0.10,721.31,0.10,721.31,,,,,
12M 2010,0.11,791.28,0.11,791.28,,,,,
12M 2011,0.93,140.43,0.93,140.43,,,,,
12M 2012,0.90,141.81,0.90,141.81,,,,,
12M 2013,2.24,145.96,2.24,145.96,,,,,
12M 2014,2.32,156.09,2.32,156.09,,,,,
12M 2015,2.56,165.88,2.56,165.88,,,,,
12M 2016,3.41,125.47,3.41,125.47,,,,,
12M 2017,3.44,135.64,3.44,135.64,,,,,
12M 2018,3.82,141.48,3.82,141.48,,,,,
12M 2019,4.60,150.14,4.60,150.14,,,,,
12M 2020,4.89,160.55,4.89,160.55,,,,,
12M 2021,6.46,172.70,6.46,172.70,,,,,
12M 2022,6.09,185.61,6.09,185.61,,,,,
12M 2023,5.74,199.37,5.74,199.37,,,,,
12M 2024,5.11,214.08,5.12,214.04,,,,,
