Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,(37 B),(260 B),(297 B),-62.14
12M 2013,106 B,(350 B),(244 B),-51.05
12M 2014,(148 B),(480 B),(628 B),-131.59
12M 2015,(103 B),(305 B),(409 B),-85.63
12M 2016,(47 B),(9 B),(56 B),-11.76
12M 2017,16 B,(10 B),6 B,1.26
12M 2018,(2 B),(18 B),(20 B),-4.15
12M 2019,18 B,(15 B),3 B,0.62
12M 2020,86 B,(4 B),82 B,17.10
12M 2021,231 B,(2 B),229 B,0.00
12M 2022,66 B,(5 B),61 B,12.78
12M 2023,5 B,(5 B),0 B,0.07
12M 2024,(70 B),(12 B),(82 B),-17.14
