Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,4.77 B,2.60,73.46,3.40,,0.47%,0.80%,2.04%,1.10
12M 2013,4.77 B,7.34,25.89,2.75,,1.19%,2.20%,1.78%,1.81
12M 2014,4.77 B,8.17,15.18,1.42,,1.24%,2.39%,2.78%,2.41
12M 2015,4.77 B,13.98,6.80,0.78,,2.11%,3.94%,4.99%,3.23
12M 2016,4.77 B,3.42,22.22,0.73,,0.53%,0.95%,2.11%,1.84
12M 2017,4.77 B,2.79,37.99,1.08,,0.42%,0.77%,1.60%,1.65
12M 2018,4.77 B,7.07,19.52,1.22,140.73 B,1.07%,1.92%,4.39%,5.35
12M 2019,4.77 B,5.28,22.54,1.00,112.93 B,0.78%,1.42%,3.41%,4.28
12M 2020,4.77 B,-0.17,-605.88,1.27,57.17 B,-0.03%,-0.05%,1.29%,1.87
12M 2021,4.77 B,21.22,9.24,1.65,144.09 B,3.07%,5.34%,4.59%,13.61
12M 2022,4.77 B,34.32,5.27,1.52,196.78 B,4.78%,7.95%,6.20%,41.18
12M 2023,4.77 B,21.84,8.88,1.86,108.18 B,2.95%,4.81%,3.02%,12.58
12M 2024,4.77 B,25.94,20.24,3.61,161.94 B,3.58%,5.43%,4.52%,16.80
