Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(19 B),(4 B),(23 B),-26.52
12M 2009,(34 B),(5 B),(39 B),-46.26
12M 2010,13 B,(16 B),(3 B),-2.63
12M 2011,12 B,(1 B),11 B,11.05
12M 2012,6 B,(0 B),5 B,5.54
12M 2013,19 B,(1 B),18 B,18.42
12M 2014,42 B,(7 B),35 B,36.03
12M 2015,52 B,(4 B),49 B,49.67
12M 2016,(30 B),,(30 B),-30.54
12M 2017,(17 B),,(17 B),-17.08
12M 2018,3 B,(6 B),(3 B),-3.06
12M 2019,11 B,(10 B),1 B,1.45
12M 2020,56 B,(7 B),49 B,50.17
12M 2021,(80 B),(17 B),(96 B),-98.37
12M 2022,(72 B),(26 B),(98 B),-99.47
12M 2023,178 B,(3 B),174 B,177.64
12M 2024,9 B,(1 B),9 B,8.69
