Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.85 B,8.16,6.00,0.06,,1.61%,6.14%,18.90%,3.96
12M 2009,0.85 B,6.96,20.69,0.20,,1.11%,4.98%,12.93%,2.20
12M 2010,0.98 B,6.40,28.12,0.24,,1.22%,5.00%,13.75%,2.13
12M 2011,0.98 B,-110.14,-1.63,0.25,,-35.10%,-612.40%,-127.33%,-31.50
12M 2012,0.98 B,34.19,8.77,0.33,,9.95%,65.53%,98.49%,47.98
12M 2013,0.98 B,37.40,7.35,0.24,,10.90%,41.75%,55.96%,133.67
12M 2014,0.98 B,27.00,16.48,0.36,,5.04%,23.16%,30.42%,553.66
12M 2015,0.98 B,14.69,19.74,0.19,,2.09%,11.63%,15.15%,8.65
12M 2016,0.98 B,-0.01,-30000.00,0.20,,-0.00%,-0.01%,-0.48%,
12M 2017,0.98 B,-14.88,-20.03,0.18,,-1.96%,-13.08%,-5.81%,
12M 2018,0.98 B,-10.19,-22.77,0.13,0.81 B,-1.17%,-9.69%,-1.55%,-1.87
12M 2019,0.98 B,-19.01,-5.79,0.07,(8.12 B),-2.86%,-21.67%,-10.10%,-25.54
12M 2020,0.98 B,41.92,2.41,0.07,21.07 B,6.08%,32.48%,10.27%,16.30
12M 2021,0.98 B,-28.38,-5.64,0.06,(1.50 B),-2.61%,-28.32%,-10.12%,-10.86
12M 2022,0.98 B,-74.70,-1.70,0.04,(47.04 B),-6.67%,-283.57%,-81.37%,-12.71
12M 2023,0.98 B,-76.59,-1.06,0.02,(46.59 B),-7.42%,152.76%,-1366.91%,-10.53
12M 2024,0.98 B,-36.20,-1.93,0.02,(15.05 B),-3.92%,41.22%,66.65%,-27.62
