Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.2,0.58,0.34,3.83,0.0,0.0,0.21,0.09,2.83
12M 2009,1.16,0.59,0.63,4.5,0.0,0.0,0.55,0.14,3.5
12M 2010,1.15,0.49,0.64,4.09,0.0,0.0,0.56,0.16,3.09
12M 2011,0.91,0.52,1.64,17.45,0.0,0.0,0.5,0.09,16.45
12M 2012,1.15,0.77,0.35,6.58,0.0,0.0,0.08,0.05,5.58
12M 2013,1.34,1.02,0.1,3.83,0.0,0.0,-0.13,0.03,2.83
12M 2014,1.21,0.89,0.16,4.6,0.0,0.0,-0.27,0.04,3.6
12M 2015,1.16,0.88,0.0,5.56,0.0,0.0,-0.58,0.0,4.56
12M 2016,1.16,0.73,0.0,5.84,0.0,0.0,-0.34,0.0,4.84
12M 2017,1.15,0.77,0.0,6.67,0.0,0.0,-0.22,0.0,5.67
12M 2018,1.09,0.72,0.15,8.3,0.0,0.0,-0.22,0.02,7.3
12M 2019,1.07,0.77,0.0,7.58,0.0,0.0,-0.3,0.0,6.58
12M 2020,1.15,0.84,0.0,5.34,0.0,0.0,-0.92,0.0,4.34
12M 2021,0.99,0.6,0.36,10.85,0.0,0.0,-0.07,0.03,9.85
12M 2022,0.88,0.47,4.64,42.48,0.0,0.0,3.99,0.11,41.48
12M 2023,0.84,0.54,-0.0,-20.59,-0.0,0.0,1.38,0.0,-21.59
12M 2024,0.81,0.54,-0.0,-10.51,-0.0,0.0,0.82,0.0,-11.51
