Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,193 B,(107 B),86 B,78.05
12M 2014,3 B,(70 B),(67 B),-60.60
12M 2015,420 B,(140 B),281 B,228.56
12M 2016,485 B,(65 B),420 B,342.17
12M 2017,952 B,(79 B),873 B,711.43
12M 2018,568 B,(95 B),473 B,385.59
12M 2019,721 B,(48 B),673 B,548.44
12M 2020,629 B,(11 B),618 B,503.56
12M 2021,"1,532 B",(40 B),"1,492 B",1215.38
12M 2022,"3,139 B",(64 B),"3,075 B",2505.33
12M 2023,65 B,(70 B),(5 B),-4.33
12M 2024,593 B,(370 B),223 B,181.40
