Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2006,44 B,(4 B),40 B,806936.12
12M 2007,(279 B),(9 B),(289 B),-532.91
12M 2008,(147 B),(4 B),(151 B),-150.31
12M 2009,(24 B),(5 B),(29 B),-28.77
12M 2010,(219 B),(9 B),(228 B),-227.25
12M 2011,(383 B),(11 B),(394 B),-393.08
12M 2012,(364 B),(18 B),(382 B),-381.18
12M 2013,(174 B),(13 B),(186 B),-186.05
12M 2014,(51 B),(6 B),(57 B),-56.72
12M 2015,209 B,(17 B),192 B,191.50
12M 2016,119 B,(4 B),114 B,113.96
12M 2017,106 B,(4 B),102 B,39.46
12M 2018,(89 B),(2 B),(91 B),-35.13
12M 2019,216 B,(21 B),195 B,34.37
12M 2020,(8 B),(6 B),(14 B),-2.46
12M 2021,318 B,(10 B),308 B,54.20
12M 2022,(4 B),(25 B),(29 B),-5.04
12M 2023,(311 B),(10 B),(321 B),-56.52
12M 2024,(408 B),(8 B),(416 B),-73.09
