Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,19 B,(41 B),(22 B),-25.43
12M 2014,48 B,(113 B),(65 B),-69.56
12M 2015,62 B,(152 B),(89 B),-95.09
12M 2016,(34 B),(65 B),(98 B),-105.08
12M 2017,(99 B),(58 B),(157 B),-90.83
12M 2018,(56 B),(47 B),(103 B),-59.52
12M 2019,(81 B),(28 B),(109 B),-63.10
12M 2020,20 B,(16 B),4 B,2.07
12M 2021,(44 B),(30 B),(74 B),-42.77
12M 2022,102 B,(24 B),78 B,44.98
12M 2023,137 B,(60 B),77 B,44.41
12M 2024,29 B,(32 B),(3 B),-1.73
