Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.04 B,19.81,252.40,0.16,,0.08%,0.27%,12.01%,8.75
12M 2009,0.04 B,2953.31,3.25,0.30,,10.74%,29.15%,18.29%,8.13
12M 2010,0.04 B,1626.25,7.69,0.29,,5.81%,16.04%,14.20%,7.72
12M 2011,0.04 B,476.95,20.02,0.21,,1.65%,4.57%,6.80%,4.53
12M 2012,0.04 B,1574.09,7.81,0.26,,5.39%,12.66%,19.04%,9.92
12M 2013,0.04 B,1378.79,13.78,0.35,,4.17%,8.24%,15.53%,9.10
12M 2014,0.04 B,831.96,19.23,0.33,,2.18%,4.74%,9.43%,6.88
12M 2015,0.41 B,-3.62,-752.76,0.54,,-0.09%,-0.19%,4.31%,2.44
12M 2016,0.41 B,53.75,35.72,0.38,,1.45%,2.91%,5.75%,3.96
12M 2017,0.41 B,-29.19,-58.24,0.32,,-0.71%,-1.65%,0.66%,0.58
12M 2018,0.41 B,17.56,110.48,0.35,106.17 B,0.39%,0.91%,3.72%,2.00
12M 2019,0.41 B,-9.13,-219.06,0.42,111.40 B,-0.22%,-0.51%,3.71%,1.00
12M 2020,0.41 B,-252.83,-5.62,0.37,81.65 B,-6.31%,-16.30%,-1.42%,-0.31
12M 2021,0.41 B,84.96,15.77,0.26,134.63 B,2.03%,5.05%,6.49%,4.84
12M 2022,0.41 B,-113.02,-12.34,0.22,96.01 B,-2.39%,-6.55%,-0.59%,-1.80
12M 2023,0.41 B,213.08,6.85,0.23,232.29 B,5.01%,11.10%,16.54%,5.02
12M 2024,0.41 B,241.22,4.19,0.15,246.33 B,5.01%,10.69%,15.72%,20.39
