Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,1.50 B,20.16,0.00,0.00,,3.01%,0.00%,30.21%,2.82
12M 2013,1.88 B,30.24,33.40,1.26,,4.55%,13.59%,17.30%,3.92
12M 2014,1.88 B,38.10,26.77,0.97,,4.12%,14.04%,14.17%,4.33
12M 2015,1.88 B,52.89,21.46,0.99,,5.89%,16.34%,15.74%,7.44
12M 2016,1.88 B,78.78,22.34,1.71,,8.30%,19.90%,11.47%,8.11
12M 2017,1.88 B,59.93,10.35,0.54,,6.01%,14.18%,11.62%,11.09
12M 2018,1.88 B,53.16,17.21,0.70,214.01 B,4.84%,11.85%,10.36%,8.77
12M 2019,1.88 B,73.21,6.12,0.34,311.36 B,6.52%,15.28%,15.70%,9.44
12M 2020,1.88 B,92.02,7.72,0.50,390.94 B,7.14%,21.20%,20.37%,11.87
12M 2021,1.88 B,138.24,25.39,2.20,445.47 B,8.66%,30.26%,27.30%,21.30
12M 2022,1.88 B,298.14,6.81,1.11,460.46 B,26.99%,67.59%,46.62%,44.77
12M 2023,1.88 B,119.70,13.12,0.89,492.91 B,7.19%,31.33%,42.33%,14.78
12M 2024,1.88 B,196.74,94.03,9.30,584.92 B,11.15%,54.41%,31.81%,8.55
