Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,158 B,(115 B),43 B,28.78
12M 2013,82 B,(134 B),(51 B),-27.38
12M 2014,266 B,(179 B),87 B,46.39
12M 2015,225 B,(102 B),124 B,65.99
12M 2016,317 B,(405 B),(88 B),-47.10
12M 2017,199 B,(84 B),115 B,61.49
12M 2018,127 B,(136 B),(9 B),-4.71
12M 2019,150 B,(300 B),(150 B),-80.06
12M 2020,580 B,(81 B),499 B,266.18
12M 2021,487 B,(87 B),401 B,213.67
12M 2022,264 B,(239 B),24 B,12.96
12M 2023,565 B,(591 B),(26 B),-13.93
12M 2024,402 B,(157 B),245 B,130.75
