Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,6.44 B,14.73,10.86,0.81,,2.61%,6.04%,19.52%,2.91
12M 2009,6.44 B,26.13,22.27,3.13,,3.77%,9.79%,11.77%,2.60
12M 2010,6.87 B,34.09,30.98,4.28,,3.82%,10.95%,9.56%,3.78
12M 2011,6.87 B,57.04,21.07,3.50,,4.84%,15.91%,10.48%,5.94
12M 2012,7.21 B,110.60,16.65,3.84,,7.34%,21.92%,17.07%,9.34
12M 2013,14.43 B,76.40,9.90,2.66,,8.07%,24.87%,18.85%,7.92
12M 2014,14.43 B,96.92,15.20,3.98,,9.09%,25.44%,18.59%,6.11
12M 2015,14.43 B,59.28,26.97,4.10,,4.56%,14.22%,13.92%,3.71
12M 2016,14.43 B,21.60,59.44,3.43,,1.50%,4.99%,9.11%,2.23
12M 2017,14.43 B,25.10,36.49,2.34,,1.67%,5.56%,8.39%,2.12
12M 2018,14.43 B,31.10,25.08,1.99,"1,850.02 B",1.93%,6.50%,9.84%,2.26
12M 2019,14.43 B,35.70,27.28,2.36,"1,867.09 B",2.11%,6.99%,10.09%,2.00
12M 2020,14.43 B,12.47,62.55,2.24,"1,551.41 B",0.72%,2.63%,7.98%,1.24
12M 2021,16.51 B,19.61,42.58,2.48,"1,821.91 B",1.24%,3.74%,8.74%,1.55
12M 2022,16.51 B,37.88,15.97,1.75,"1,966.83 B",2.20%,6.80%,8.99%,1.99
12M 2023,16.51 B,46.40,12.39,1.43,"2,175.28 B",2.46%,7.79%,9.98%,2.53
12M 2024,16.51 B,83.19,5.89,0.76,"4,066.29 B",4.10%,12.43%,18.65%,3.56
