Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,13.35,,77.73,,0.24,,0.14,4.7,4.7,1.22
12M 2009,40.01,6.16,152.3,-106.13,9.12,7.95,59.21,43.48,0.3,0.43,0.13,0.13,-4.74,-4.74,0.86
12M 2010,45.55,5.85,81.49,-30.09,8.01,5.73,62.4,53.84,0.61,0.59,0.18,0.18,2.11,2.11,1.72
12M 2011,44.22,5.53,33.05,16.7,8.26,8.56,66.05,64.98,0.62,0.6,0.21,0.22,3.18,3.18,1.78
12M 2012,23.15,3.25,20.5,5.9,15.77,14.68,112.17,93.53,1.39,1.82,0.42,0.43,15.01,15.01,1.19
12M 2013,32.69,6.56,38.4,0.85,11.16,10.4,55.67,53.92,1.58,1.61,0.34,0.34,17.52,17.52,1.1
12M 2014,31.19,7.59,43.73,-4.95,11.7,10.59,48.09,46.13,1.78,1.69,0.35,0.36,2.87,2.87,1.86
12M 2015,29.29,8.08,42.51,-5.14,12.46,10.94,45.18,43.96,1.96,1.94,0.36,0.35,3.28,3.28,1.67
12M 2016,29.19,8.13,31.95,5.37,12.5,12.11,44.87,43.73,2.04,2.06,0.36,0.38,-17.01,-17.01,0.9
12M 2017,31.66,7.06,26.93,11.79,11.53,11.33,51.72,59.17,2.03,2.05,0.35,0.35,11.68,11.68,1.17
12M 2018,30.72,6.98,28.28,9.42,11.88,11.04,52.28,47.53,2.15,2.15,0.35,0.34,6.1,6.1,1.24
12M 2019,33.32,10.21,38.78,4.75,10.96,10.94,35.76,37.75,2.51,3.67,0.17,0.12,3.95,3.95,1.64
12M 2020,96.1,12.71,48.07,60.74,3.8,2.84,28.72,33.39,2.33,2.38,0.08,0.08,1.14,1.14,2.95
12M 2021,160.74,13.81,46.03,128.52,2.27,2.1,26.43,19.99,2.0,1.9,0.07,0.07,1.21,1.21,2.58
12M 2022,119.28,12.36,47.73,83.91,3.06,3.31,29.54,28.07,2.11,1.95,0.09,0.09,1.56,1.56,2.21
12M 2023,71.35,7.66,44.06,34.95,5.12,5.97,47.66,65.5,2.09,1.98,0.11,0.11,3.33,3.33,1.69
12M 2024,48.68,4.85,47.83,5.7,7.5,7.33,75.25,73.85,2.03,1.99,0.11,0.11,3.77,3.77,1.61
