Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,360 B,(685 B),(325 B),-91.51
12M 2009,294 B,(337 B),(43 B),-12.20
12M 2010,256 B,(232 B),24 B,6.87
12M 2011,347 B,(256 B),91 B,25.60
12M 2012,519 B,(275 B),244 B,68.79
12M 2013,645 B,(216 B),429 B,120.70
12M 2014,646 B,(434 B),212 B,59.73
12M 2015,648 B,(188 B),460 B,129.63
12M 2016,570 B,(227 B),343 B,96.76
12M 2017,452 B,(143 B),309 B,87.12
12M 2018,568 B,(140 B),428 B,-39.53
12M 2019,608 B,(90 B),518 B,146.00
12M 2020,(32 B),(113 B),(145 B),-40.94
12M 2021,361 B,(143 B),219 B,101.72
12M 2022,632 B,(171 B),460 B,0.00
12M 2023,765 B,(192 B),573 B,0.00
12M 2024,699 B,(157 B),542 B,152.57
