Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,3.55 B,-64.57,-37.17,15.69,,-5.63%,-16.45%,6.27%,
12M 2009,3.55 B,82.45,30.32,16.09,,6.60%,17.36%,2.24%,
12M 2010,3.55 B,141.71,14.04,8.71,,11.35%,22.85%,2.82%,
12M 2011,3.55 B,25.55,60.67,6.05,,2.14%,3.97%,4.86%,2.97
12M 2012,3.55 B,68.71,23.58,3.36,,6.18%,10.95%,12.41%,10.10
12M 2013,3.55 B,11.42,168.13,4.89,,0.98%,1.92%,12.53%,5.31
12M 2014,3.55 B,99.96,37.52,8.75,,7.81%,15.29%,13.88%,8.48
12M 2015,3.55 B,76.69,52.16,8.63,,5.83%,11.57%,13.99%,8.74
12M 2016,3.55 B,200.99,24.13,10.38,,15.56%,32.15%,15.40%,12.13
12M 2017,3.55 B,76.90,46.16,7.83,,5.88%,30.07%,14.47%,3.99
12M 2018,3.55 B,56.31,51.15,6.05,663.42 B,3.96%,17.87%,14.86%,2.99
12M 2019,3.55 B,150.05,21.99,7.93,766.75 B,4.25%,4.60%,8.70%,5.87
12M 2020,3.55 B,-162.02,-15.12,9.38,533.80 B,-4.87%,-5.40%,4.07%,97.52
12M 2021,3.55 B,126.13,19.42,9.98,464.84 B,3.74%,4.15%,3.60%,56.35
12M 2022,3.55 B,157.01,13.25,6.74,559.02 B,4.51%,5.05%,4.28%,35.64
12M 2023,3.55 B,172.75,15.63,7.38,688.15 B,5.01%,5.63%,5.41%,30.63
12M 2024,3.55 B,281.00,8.93,6.43,713.31 B,7.81%,8.79%,5.28%,21.78
